,1903c111_10m_1,1903c111_10m_2,1903c111_10m_3,1903c117_50m_1,1903c117_50m_2,1903c117_50m_3,1903c118_23m_2,1903c118_23m_3,1903c119_11m_2,1903c119_11m_3,1903c122_28m_1,1903c122_28m_2,1903c122_28m_3,1903c123_10m_1,1903c123_10m_2,1903c123_10m_3,1903c124_15m_1,1903c124_15m_2,1903c124_15m_3,1903c126_45m_1,1903c126_45m_2,1903c126_45m_3,1903c127_7m_1,1903c127_7m_2,1903c127_7m_3,1903c129_26m_1,1903c129_26m_2,1903c129_26m_3,1903c144_13m_2,1903c144_13m_3,Las19c107_10m_1,Las19c107_10m_2,Las19c107_10m_3,Las19c135_5m_1,Las19c135_5m_2,Las19c135_5m_3,Las19c138_27m_1,Las19c138_27m_3
TAX_145,63000,70000,0,58000,0,69000,0,0,0,70000,0,0,0,95000,58000,0,99000,62000,100000,84000,61000,260000,0,0,0,0,0,0,0,0,495000,231000,0,0,0,0,801000,0
TAX_146,73000,58000,0,0,0,135000,0,0,0,0,0,0,0,0,0,0,0,0,104000,150000,163000,497000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298000,473000
TAX_147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,96000
TAX_148,0,0,0,0,0,0,0,0,0,0,0,0,0,54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54000,0,0,0,0,0,0
TAX_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000,0
TAX_150,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,112000,0,103000,62000,0,0,70000,88000,0,0,0,0,0,0,0,0,265000,269000,0,0,0,0,353000,0
TAX_151,130000,169000,0,128000,89000,0,0,0,0,0,0,61000,0,941000,663000,0,619000,435000,0,238000,348000,361000,0,0,0,55000,141000,0,111000,0,1262000,1285000,0,0,0,0,1691000,0
TAX_152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51000,136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122000,0
TAX_153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59000,0
TAX_154,0,0,0,0,0,0,0,0,0,72000,0,0,0,148000,96000,0,84000,0,0,86000,92000,448000,0,0,0,0,0,0,0,0,456000,394000,0,0,0,0,1015000,0
TAX_155,145000,117000,0,122000,60000,345000,0,0,0,195000,77000,74000,0,51000,0,0,0,59000,92000,203000,193000,1600000,0,0,0,183000,223000,65000,54000,0,333000,193000,0,0,0,0,1443000,669000
TAX_156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147000,56000
TAX_157,0,0,0,0,0,135000,0,0,0,168000,0,0,0,0,0,0,0,0,0,0,0,1334000,0,0,0,0,55000,61000,0,0,0,0,0,0,0,0,177000,453000
TAX_158,74000,80000,0,0,0,91000,0,0,0,0,0,74000,0,0,0,0,0,0,0,314000,443000,404000,0,0,0,268000,663000,0,0,0,0,0,0,0,0,0,131000,816000
TAX_159,0,0,0,0,0,0,0,0,0,455000,0,0,0,55000,0,0,0,0,0,0,0,63000,0,0,0,0,0,274000,0,0,0,0,0,0,0,0,0,0
TAX_160,0,0,0,0,0,61000,0,0,0,0,0,0,0,0,0,0,0,0,63000,83000,74000,255000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114000,147000
TAX_161,99000,68000,0,0,0,196000,0,0,0,0,51000,0,0,0,0,0,0,0,101000,205000,186000,286000,0,0,0,143000,125000,0,0,0,0,0,0,0,0,0,263000,636000
TAX_162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86000,51000
TAX_164,57000,0,0,0,0,138000,0,0,0,0,71000,0,0,0,0,0,0,0,95000,0,0,118000,0,0,0,58000,0,0,52000,0,62000,0,0,0,0,92000,114000,115000
TAX_165,0,0,0,0,0,180000,0,0,0,0,54000,0,0,0,0,0,0,0,112000,0,0,352000,0,0,0,0,0,0,0,0,66000,0,0,0,0,156000,175000,302000
TAX_166,367000,287000,0,240000,149000,616000,238000,0,84000,149000,442000,90000,0,74000,0,0,116000,94000,582000,217000,213000,665000,179000,167000,0,368000,150000,102000,348000,0,383000,172000,0,212000,257000,461000,594000,621000
TAX_167,154000,114000,0,95000,53000,234000,100000,0,0,81000,181000,0,0,0,0,0,0,0,206000,93000,92000,232000,68000,74000,0,136000,68000,0,133000,0,164000,56000,0,76000,97000,180000,223000,218000
TAX_168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257000,0,0,0,0,0,62000,0,0,0
TAX_169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51000,0,0,0,0,0,0,0,0,0
TAX_170,0,0,0,0,0,0,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53000
TAX_171,0,55000,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,101000,123000,444000,0,0,0,98000,180000,75000,0,0,0,0,0,0,0,90000,113000,511000
TAX_172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_173,0,0,0,0,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464000,0,0,0,0,0,0,0,0,0,0
TAX_174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_175,0,0,0,0,0,0,0,0,0,109000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_176,69000,51000,0,0,0,73000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122000,127000,0,0,0,0,65000,0,0,0,0,137000,153000,0,0,69000
TAX_177,0,0,0,92000,0,139000,0,0,0,82000,0,0,0,0,0,0,0,0,0,0,0,66000,0,0,0,0,0,0,0,0,237000,64000,0,0,0,80000,152000,87000
TAX_178,563000,392000,0,109000,52000,1779000,67000,0,0,0,1309000,370000,0,0,0,0,0,0,353000,180000,148000,0,119000,94000,0,422000,172000,0,0,0,167000,56000,0,114000,110000,0,534000,183000
TAX_179,0,0,0,0,0,193000,0,0,0,0,144000,53000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,0
TAX_180,0,0,0,0,0,63000,0,0,0,0,0,0,0,0,0,0,0,0,54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000,0
TAX_181,113000,111000,0,0,0,477000,0,0,0,0,379000,110000,0,0,0,0,0,0,108000,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,0,121000,0
TAX_182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66000,0
TAX_183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_184,0,0,0,0,0,56000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83000,0
TAX_185,0,0,0,0,0,173000,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,86000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61000,0
TAX_186,0,0,0,0,0,92000,0,0,0,208000,0,0,0,0,0,0,0,0,111000,0,0,214000,0,0,0,0,0,0,64000,0,94000,0,0,0,0,0,117000,80000
TAX_187,0,0,0,0,0,103000,0,0,0,199000,0,0,0,0,0,0,0,0,63000,0,0,207000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62000,252000
TAX_188,0,0,0,0,0,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69000,89000
TAX_189,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93000,0,61000,0,0,0,0,0,0,0
TAX_190,58000,0,0,165000,91000,254000,0,0,110000,554000,0,0,0,0,0,0,122000,102000,84000,0,0,74000,106000,86000,0,0,0,109000,184000,0,565000,111000,0,0,109000,0,86000,0
TAX_191,159000,74000,0,70000,0,593000,0,0,0,406000,146000,0,0,0,0,0,105000,90000,497000,60000,54000,188000,0,0,0,179000,0,100000,91000,0,258000,77000,0,0,80000,0,620000,228000
TAX_192,0,0,0,183000,77000,166000,0,0,69000,145000,0,0,0,0,0,0,0,54000,85000,0,0,0,83000,93000,0,0,0,0,0,0,448000,0,0,59000,0,0,145000,0
TAX_193,0,0,0,0,0,96000,0,0,0,53000,0,0,0,0,0,0,0,0,123000,0,0,52000,0,0,0,0,0,0,0,0,54000,0,0,0,0,0,102000,0
TAX_194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68000
TAX_196,0,0,0,0,0,89000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144000
TAX_197,0,0,0,0,0,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86000,0,0,0,59000,0,0,0,0,0,0,0,0,0,70000,0,283000
TAX_198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58000
TAX_199,0,0,0,0,0,0,0,0,0,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000,0,0,0,0,0,0,0
TAX_200,123000,61000,0,0,0,1442000,0,0,0,1526000,115000,0,0,0,0,55000,108000,136000,0,0,0,991000,424000,464000,0,0,0,875000,1066000,0,204000,0,0,445000,637000,0,79000,1553000
TAX_201,0,0,0,0,0,333000,0,0,0,0,82000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_202,0,0,0,0,0,56000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160000
TAX_203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_204,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77000
TAX_205,0,0,0,0,0,443000,0,0,0,182000,0,0,0,0,0,82000,0,0,0,0,0,290000,0,0,0,0,0,54000,0,0,65000,0,0,0,0,204000,0,386000
TAX_206,0,0,0,0,0,75000,0,0,0,121000,0,0,0,0,0,0,0,0,0,0,0,177000,0,0,0,0,0,0,0,0,0,0,0,0,0,124000,0,440000
TAX_207,84000,0,68000,475000,236000,632000,67000,0,290000,1752000,0,0,0,125000,109000,738000,258000,260000,99000,0,0,1484000,0,56000,0,0,0,862000,203000,500000,1089000,336000,0,0,69000,1650000,221000,1270000
TAX_208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_209,0,0,0,0,0,56000,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,612000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101000,65000
TAX_210,0,0,0,0,0,0,0,0,0,224000,0,0,0,0,0,0,0,0,0,0,0,715000,0,0,0,0,0,90000,0,0,121000,0,0,0,0,0,106000,0
TAX_211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_214,528000,388000,0,0,0,883000,0,0,0,362000,158000,0,0,63000,0,68000,225000,226000,0,0,0,291000,1158000,1093000,0,126000,0,206000,342000,0,173000,59000,0,1089000,1182000,845000,102000,1194000
TAX_215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477000,0,0
TAX_216,1141000,821000,111000,1035000,646000,1801000,383000,0,825000,1775000,1154000,149000,61000,508000,404000,1500000,891000,908000,106000,0,0,1731000,1287000,1285000,0,334000,71000,1280000,1075000,1058000,1613000,807000,0,964000,1348000,1784000,480000,1784000
TAX_217,0,0,0,110000,0,53000,0,0,104000,430000,0,0,0,91000,57000,256000,97000,69000,0,0,0,51000,0,0,0,0,0,85000,0,0,465000,142000,0,0,0,549000,0,141000
TAX_218,79000,0,0,425000,173000,204000,0,0,310000,574000,0,0,0,98000,69000,107000,213000,190000,0,0,0,84000,85000,92000,0,0,0,304000,121000,132000,714000,268000,0,106000,101000,155000,0,96000
TAX_219,0,0,0,0,0,216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000
TAX_220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409000,0,0
TAX_221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131000,0,0
TAX_222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,131000,0,0,0,0,69000,50000,0,0,0
TAX_223,0,0,0,0,0,84000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76000
TAX_224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000
TAX_225,0,0,0,0,0,61000,0,0,0,222000,0,0,0,0,0,0,0,0,0,0,0,753000,0,0,0,0,0,103000,64000,0,177000,0,0,0,0,0,187000,68000
TAX_226,0,0,0,0,0,270000,0,0,0,53000,0,0,0,0,0,0,0,0,0,0,0,232000,0,0,0,0,0,0,101000,0,56000,0,0,0,0,0,56000,300000
TAX_227,0,0,0,0,0,108000,0,0,0,56000,0,0,0,0,0,0,0,0,0,0,0,87000,55000,53000,0,0,0,0,67000,0,82000,0,0,0,70000,68000,0,106000
TAX_228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_229,61000,0,0,0,0,493000,0,0,0,77000,59000,0,0,0,0,0,0,0,178000,0,0,682000,0,0,0,0,0,0,104000,0,129000,0,0,0,54000,270000,171000,645000
TAX_230,330000,168000,0,444000,300000,1154000,169000,0,293000,985000,503000,0,0,99000,80000,224000,263000,259000,504000,0,0,1159000,630000,611000,0,219000,0,597000,942000,151000,925000,318000,0,394000,750000,1014000,611000,1156000
TAX_231,0,0,0,0,0,212000,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,281000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88000,357000
TAX_232,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,115000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_233,74000,0,0,58000,0,411000,0,0,0,207000,92000,0,0,0,0,0,0,0,175000,0,0,549000,115000,102000,0,67000,0,116000,278000,0,152000,0,0,78000,169000,383000,256000,519000
TAX_234,0,0,0,0,0,85000,0,0,0,179000,0,0,0,0,0,0,0,0,0,0,0,393000,0,0,0,0,0,98000,121000,0,113000,0,0,0,0,0,134000,79000
TAX_235,0,0,0,0,0,126000,0,0,0,0,0,0,0,0,0,0,0,0,64000,0,0,353000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108000,150000
TAX_236,0,0,0,0,0,89000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96000,0,0,0,0,0,0,86000,0,0,0,0,0,0,74000,51000,102000
TAX_237,0,0,0,0,0,273000,0,0,0,76000,56000,0,0,0,0,0,0,0,74000,0,0,442000,57000,0,0,0,0,0,154000,0,68000,0,0,0,70000,124000,162000,335000
TAX_238,0,0,0,0,0,132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974000
TAX_239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361000
TAX_240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197000
TAX_241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000
TAX_242,0,0,0,0,0,161000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359000,332000,0,0,0,0,373000,0,0,0,0,448000,464000,0,0,418000
TAX_243,0,0,0,0,0,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,110000,0,122000
TAX_244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56000
TAX_245,112000,69000,0,71000,0,736000,0,0,67000,0,282000,0,0,0,0,0,0,0,0,0,0,0,349000,355000,0,76000,0,0,59000,0,0,0,0,292000,291000,529000,0,532000
TAX_246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,0
TAX_247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56000,0,0,0,0
TAX_248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82000,0,0,0,0,0,0,0,0,67000
TAX_249,0,0,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174000
TAX_250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63000
TAX_251,0,0,0,0,0,119000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000
TAX_252,109000,52000,0,0,0,532000,0,0,0,0,192000,0,0,0,0,0,0,0,123000,0,0,298000,109000,111000,0,73000,0,0,85000,0,60000,0,0,82000,115000,0,107000,482000
TAX_253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434000,0,0
TAX_254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404000,0,0
TAX_255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,0
TAX_256,0,0,0,369000,146000,343000,84000,0,313000,1141000,87000,0,0,675000,562000,52000,791000,788000,0,0,0,0,0,0,0,0,0,451000,0,0,1190000,840000,0,0,0,505000,0,76000
TAX_257,0,0,0,70000,0,67000,0,0,77000,241000,0,0,0,128000,101000,0,147000,130000,0,0,0,0,0,0,0,0,0,73000,0,0,263000,146000,0,0,0,84000,0,0
TAX_258,283000,138000,0,150000,57000,1270000,0,0,102000,210000,634000,59000,0,0,0,0,72000,62000,0,0,0,0,83000,108000,0,0,0,123000,86000,0,289000,54000,0,79000,97000,0,0,350000
TAX_259,0,0,0,0,0,80000,0,0,0,293000,0,0,0,0,0,0,91000,72000,0,0,0,0,0,0,0,0,0,126000,0,0,394000,108000,0,0,0,0,0,50000
TAX_260,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92000
TAX_261,0,0,0,0,0,102000,0,0,0,97000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53000,0,0,87000,0,0,0,0,0,0,63000
TAX_262,435000,235000,0,218000,226000,1160000,0,0,268000,1490000,209000,0,0,156000,121000,359000,248000,441000,0,0,0,612000,418000,403000,0,93000,0,1022000,608000,257000,1110000,331000,0,273000,419000,303000,72000,1102000
TAX_263,241000,126000,0,381000,118000,735000,0,0,154000,728000,463000,0,0,83000,59000,214000,453000,248000,0,0,0,293000,840000,832000,0,54000,0,566000,345000,134000,566000,168000,0,493000,799000,594000,0,694000
TAX_264,0,0,0,0,0,261000,0,0,0,174000,0,0,0,0,0,56000,0,0,0,0,0,75000,0,0,0,0,0,111000,0,0,120000,0,0,0,0,0,0,123000
TAX_265,0,0,0,0,0,103000,0,0,0,65000,0,0,0,0,0,0,0,0,60000,0,0,237000,0,0,0,0,0,0,0,0,0,0,0,0,0,73000,0,317000
TAX_266,402000,209000,0,330000,192000,1179000,204000,0,140000,1149000,276000,0,0,98000,78000,305000,295000,274000,707000,0,0,1241000,372000,348000,0,213000,0,758000,627000,161000,920000,302000,0,202000,428000,1077000,553000,1273000
TAX_267,85000,0,0,63000,0,243000,0,0,0,224000,58000,0,0,0,0,57000,56000,50000,157000,0,0,342000,55000,0,0,0,0,125000,99000,0,187000,58000,0,0,61000,220000,113000,367000
TAX_268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277000,0,0
TAX_269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169000,0,0
TAX_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129000,0,0
TAX_271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58000,0,0
TAX_272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000
TAX_273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76000
TAX_275,556000,475000,0,102000,0,1760000,85000,0,0,0,1675000,1204000,0,0,0,0,74000,52000,0,0,0,203000,1063000,1026000,0,607000,369000,0,0,0,76000,0,0,863000,692000,300000,126000,1458000
TAX_276,68000,0,0,0,0,157000,0,0,0,62000,0,0,0,0,0,0,0,0,57000,0,0,553000,0,0,0,149000,0,0,0,0,0,0,0,0,0,157000,186000,892000
TAX_277,0,0,0,0,0,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,67000,61000,304000
TAX_278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,0,0,0,62000,0,0,0,0,0,0,0,0,0,0,0,1085000
TAX_279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122000
TAX_280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000
TAX_281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000
TAX_282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59000,0,57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132000
TAX_283,455000,354000,0,89000,0,1096000,111000,0,0,0,623000,316000,0,0,0,0,51000,0,198000,191000,187000,95000,637000,624000,0,494000,273000,0,99000,0,166000,72000,0,554000,432000,283000,92000,878000
TAX_284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61000
TAX_285,110000,74000,0,64000,0,1129000,0,0,0,0,852000,331000,0,0,0,0,0,0,0,0,0,0,232000,194000,0,121000,0,0,120000,0,117000,51000,0,262000,192000,0,0,504000
TAX_286,84000,0,0,0,0,993000,0,0,0,52000,231000,0,0,0,0,0,0,0,72000,0,0,101000,120000,103000,0,0,0,0,0,0,120000,0,0,80000,84000,0,0,251000
TAX_287,0,0,0,0,0,71000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_288,0,0,0,0,0,734000,0,0,0,0,282000,84000,0,0,0,0,0,0,0,0,0,0,50000,61000,0,0,0,0,0,0,0,0,0,60000,0,0,0,169000
TAX_289,0,0,0,0,0,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417000
TAX_291,195000,147000,0,0,0,268000,0,0,0,0,88000,0,0,0,0,0,0,0,0,0,0,272000,446000,447000,0,229000,125000,0,286000,0,0,0,0,506000,489000,438000,127000,605000
TAX_292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87000
TAX_293,117000,93000,0,0,0,241000,0,0,0,0,0,0,0,0,0,119000,0,0,0,0,0,246000,245000,232000,0,341000,216000,0,172000,0,63000,0,0,435000,317000,284000,116000,1198000
TAX_294,0,0,0,0,0,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508000
TAX_295,60000,0,0,0,0,270000,0,0,0,0,75000,0,0,0,0,0,0,0,56000,0,0,126000,0,0,0,89000,0,0,0,0,0,0,0,0,0,0,101000,323000
