,Domain,Phylum,Class,Order,Family,Genus,Species
TAX_204,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,SM1A02,UBA12014,UBA12014 sp002684755
TAX_205,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,SM1A02,UBA1668,UBA1668 sp002364555
TAX_206,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,SM1A02,UBA1924,UBA1924 sp002364005
TAX_207,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,SM1A02,UBA8087,UBA8087 sp002684315
TAX_208,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,JABAAE01,JABAAE01 sp014238905
TAX_209,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Mariniblastus,Mariniblastus sp011087765
TAX_210,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Mariniblastus,Mariniblastus sp011523945
TAX_211,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Mariniblastus,Mariniblastus sp014237975
TAX_212,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rubripirellula,Rubripirellula sp002689655
TAX_213,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rubripirellula,Rubripirellula sp002690925
TAX_214,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rubripirellula,Rubripirellula sp002712845
TAX_215,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rubripirellula,Rubripirellula sp002862205
TAX_216,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rubripirellula,Rubripirellula sp003513555
TAX_217,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,UBA721,UBA721 sp002705165
TAX_218,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA1268,UBA1268,UBA1268 sp002171115
TAX_219,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA1268,UBA1268,UBA1268 sp002694955
TAX_220,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA1268,UBA1268,UBA1268 sp002712395
TAX_221,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA1268,UBA1268,UBA1268 sp002862165
TAX_222,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA1268,UBA1268,UBA1268 sp002862175
TAX_223,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA1268,UBA1268,UBA1268 sp003509235
TAX_224,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA1268,UBA1268,UBA1268 sp014238855
TAX_225,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA7805,UBA7805,UBA7805 sp002168195
TAX_226,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Planctomycetaceae,Fuerstia,Fuerstia sp014238335
TAX_227,Bacteria,Proteobacteria,Alphaproteobacteria,HIMB59,GCA-002718135,AG-337-I02,AG-337-I02 sp902511405
TAX_228,Bacteria,Proteobacteria,Alphaproteobacteria,HIMB59,GCA-002718135,AG-337-I02,AG-337-I02 sp902601455
TAX_229,Bacteria,Proteobacteria,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp002169365
TAX_230,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,RS24,UBA8337,UBA8337 sp900197605
TAX_231,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter giovannonii
TAX_232,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp000155895
TAX_233,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp003210015
TAX_234,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp003279685
TAX_235,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp003279715
TAX_236,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp003282975
TAX_237,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp003282985
TAX_238,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp003283905
TAX_239,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp014653365
TAX_240,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp014653375
TAX_241,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp014653385
TAX_242,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp014653455
TAX_243,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp014654035
TAX_244,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp014654265
TAX_245,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp014654455
TAX_246,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902509725
TAX_247,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902511185
TAX_248,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902512765
TAX_249,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902513955
TAX_250,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902514745
TAX_251,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902520685
TAX_252,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902554765
TAX_253,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902555655
TAX_254,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902556905
TAX_255,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902558795
TAX_256,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902560015
TAX_257,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902573585
TAX_258,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902595535
TAX_259,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902595745
TAX_260,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902596045
TAX_261,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902603555
TAX_262,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902604605
TAX_263,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902608385
TAX_264,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp902613855
TAX_265,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter ubique
TAX_266,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter ubique_C
TAX_267,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter ubique_L
TAX_268,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter ubique_M
TAX_269,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter ubique_S
TAX_270,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter_A,Pelagibacter_A sp003282965
TAX_271,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter_A,Pelagibacter_A sp003284275
TAX_272,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter_A,Pelagibacter_A sp014653835
TAX_273,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter_A,Pelagibacter_A sp014654415
TAX_274,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter_A,Pelagibacter_A sp902536305
TAX_275,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter_A,Pelagibacter_A sp902572345
TAX_276,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter_A,Pelagibacter_A sp902609855
TAX_277,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,TMED170,TMED170 sp902604695
TAX_278,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,AAA536-G10,AAA536-G10,AAA536-G10 sp000421325
TAX_279,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,Puniceispirillaceae,Puniceispirillum,Puniceispirillum marinum
TAX_280,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,Puniceispirillaceae,UBA3439,UBA3439 sp002378605
TAX_281,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,Puniceispirillaceae,UBA4588,UBA4588 sp002387605
TAX_282,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,Puniceispirillaceae,UBA5951,UBA5951 sp009936885
TAX_283,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,Puniceispirillaceae,UBA8309,UBA8309 sp002683535
TAX_284,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_B,TMED25,MED-G09,MED-G09 sp002704345
TAX_285,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Amylibacter sp000153745
TAX_286,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Amylibacter sp003447515
TAX_287,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Amylibacter sp900197625
TAX_288,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans,Ascidiaceihabitans sp002478745
TAX_289,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,CABZJG01,CABZJG01 sp002726375
TAX_290,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,CACIIZ01,CACIIZ01 sp002699695
TAX_291,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,CACIIZ01,CACIIZ01 sp014239455
TAX_292,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,CPC320,CPC320 sp002684375
TAX_293,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Dinoroseobacter,Dinoroseobacter sp013215265
TAX_294,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,GCA-002712045,GCA-002712045 sp002683355
TAX_295,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,GCA-2697345,GCA-2697345 sp002697345
TAX_296,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,HTCC2150,HTCC2150 sp000169395
TAX_297,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,LGRT01,LGRT01 sp001642945
TAX_298,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,LGRT01,LGRT01 sp902539465
TAX_299,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,LGRT01,LGRT01 sp902542575
TAX_300,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Lentibacter,Lentibacter algarum
TAX_301,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,MED-G52,MED-G52 sp002457115
TAX_302,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,MED-G52,MED-G52 sp002682975
TAX_303,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,MED-G52,MED-G52 sp002711145
TAX_304,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,MED-G52,MED-G52 sp003332035
TAX_305,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Planktomarina sp002683685
TAX_306,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Planktomarina sp002698165
TAX_307,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Planktomarina temperata
TAX_308,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktotalea,Planktotalea frisia
TAX_309,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktotalea,Planktotalea sp000156115
TAX_310,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,R2A62,R2A62 sp000161835
TAX_311,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter litoralis
TAX_312,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter pontiacus
TAX_313,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter sp001634775
TAX_314,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter sp002703405
TAX_315,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tateyamaria,Tateyamaria sp003445215
TAX_316,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tateyamaria,Tateyamaria sp900143535
TAX_317,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Emcibacteraceae,UBA4441,UBA4441 sp002390425
TAX_318,Bacteria,Proteobacteria,Alphaproteobacteria,TMED109,TMED109,GCA-2684605,GCA-2684605 sp002684605
TAX_319,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,UBA7326,UBA7326 sp002708305
TAX_320,Bacteria,Proteobacteria,Alphaproteobacteria,UBA7985,UBA7985,UBA7985,UBA7985 sp002705565
TAX_321,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,UBA868,GCA-2726415,GCA-2726415 sp014239255
TAX_322,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,UBA868,GCA-2726415,GCA-2726415 sp014239575
TAX_323,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,UBA868,UBA868,UBA868 sp002171735
TAX_324,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,UBA868,UBA868,UBA868 sp002295285
TAX_325,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Comamonas,Comamonas acidovorans
TAX_326,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Comamonas,Comamonas tsuruhatensis
TAX_327,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,GCA-2721545,GCA-2721545 sp014237605
TAX_328,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas naphthalenivorans
TAX_329,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Vibrio sp000171815
TAX_330,Bacteria,Proteobacteria,Gammaproteobacteria,PS1,Thioglobaceae,Thioglobus,Thioglobus singularis
TAX_331,Bacteria,Proteobacteria,Gammaproteobacteria,PS1,Thioglobaceae,Thioglobus,Thioglobus singularis_A
TAX_332,Bacteria,Proteobacteria,Gammaproteobacteria,PS1,Thioglobaceae,Thioglobus,Thioglobus sp002169705
TAX_333,Bacteria,Proteobacteria,Gammaproteobacteria,PS1,Thioglobaceae,Thioglobus,Thioglobus sp902509905
TAX_334,Bacteria,Proteobacteria,Gammaproteobacteria,PS1,Thioglobaceae,Thioglobus,Thioglobus sp902510115
TAX_335,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA4421,UBA4421 sp002390555
TAX_336,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA4421,UBA4421 sp002684495
TAX_337,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA4421,UBA4421 sp002704225
TAX_338,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA4421,UBA4421 sp009886205
TAX_339,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA4421,UBA4421 sp012103505
TAX_340,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA9926,UBA9926 sp003451575
TAX_341,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Halioglobus,Halioglobus sp000156295
TAX_342,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Halioglobus,Halioglobus sp002862985
TAX_343,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Luminiphilus,Luminiphilus sp000169115
TAX_344,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Luminiphilus,Luminiphilus sp002390485
TAX_345,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Luminiphilus,Luminiphilus sp002683335
TAX_346,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Luminiphilus,Luminiphilus sp002683395
TAX_347,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Luminiphilus,Luminiphilus sp002689915
TAX_348,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Luminiphilus,Luminiphilus sp002691405
TAX_349,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Luminiphilus,Luminiphilus sp009886815
TAX_350,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Luminiphilus,Luminiphilus sp013911345
TAX_351,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas aquamarina
TAX_352,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas glaciei
TAX_353,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas sp002366715
TAX_354,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas sulfidaeris
TAX_355,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter nivimaris
TAX_356,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter pacificensis
TAX_357,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp000511655
TAX_358,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter vinifirmus
TAX_359,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,HTCC2207,HTCC2207 sp000153445
TAX_360,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,HTCC2207,HTCC2207 sp002378645
TAX_361,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,HTCC2207,HTCC2207 sp002457245
TAX_362,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,HTCC2207,HTCC2207 sp002685195
TAX_363,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,HTCC2207,HTCC2207 sp002685715
TAX_364,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,HTCC2207,HTCC2207 sp003491845
TAX_365,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,HTCC2207,HTCC2207 sp004211905
TAX_366,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,Porticoccus,Porticoccus sp002390525
TAX_367,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,OM182,OM182 sp001438145
TAX_368,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,OM182,OM182 sp002700775
TAX_369,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,UBA7434,UBA7434,UBA7434 sp002726445
TAX_370,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86,D2472,D2472,D2472 sp000307935
TAX_371,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86,D2472,D2472,D2472 sp003283765
TAX_372,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86,D2472,D2472,D2472 sp003284215
TAX_373,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86,D2472,D2472,D2472 sp902511425
TAX_374,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86,D2472,D2472,D2472 sp902511575
TAX_375,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86,D2472,MED-G78,MED-G78 sp902509965
TAX_376,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86,D2472,SCGC-AAA076-P13,SCGC-AAA076-P13 sp000384935
TAX_377,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86,D2472,SCGC-AAA076-P13,SCGC-AAA076-P13 sp000385055
TAX_378,Bacteria,Proteobacteria,Gammaproteobacteria,UBA11654,UBA11654,UBA11654,UBA11654 sp002691305
TAX_379,Bacteria,Proteobacteria,Gammaproteobacteria,UBA4575,UBA4575,UBA4575,UBA4575 sp002386945
TAX_380,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,SP4260,SP4260 sp902510755
TAX_381,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,SP4260,SP4260 sp902512585
TAX_382,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia_AM
TAX_383,Bacteria,SAR324,SAR324,SAR324,NAC60-12,Arctic96AD-7,Arctic96AD-7 sp002685535
TAX_384,Bacteria,SAR324,SAR324,SAR324,NAC60-12,Arctic96AD-7,Arctic96AD-7 sp002704555
TAX_385,Bacteria,Verrucomicrobiota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,Lentisphaera araneosa
TAX_386,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,DSM-45221,UBA7441,UBA7441 sp009886465
TAX_387,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,MB11C04,MB11C04,MB11C04 sp002477515
TAX_388,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,UBA1096,UBA1096,UBA1096 sp002170545
TAX_389,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Roseibacillus_B,Roseibacillus_B sp002380675
TAX_390,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Roseibacillus_B,Roseibacillus_B sp002420305
TAX_391,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Roseibacillus_B,Roseibacillus_B sp002501065
TAX_392,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Roseibacillus_B,Roseibacillus_B sp002729275
TAX_393,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Roseibacillus_B,Roseibacillus_B sp014240355
TAX_394,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,SW10,SW10 sp000383735
TAX_395,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,SW10,SW10 sp002172625
TAX_396,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,SW10,SW10 sp002323895
TAX_397,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,SW10,SW10 sp002420315
TAX_398,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,SW10,SW10 sp002729295
TAX_399,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,Arctic95D-9,Arctic95D-9 sp002726915
TAX_400,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,EC70,EC70 sp002705125
TAX_401,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,EC70,EC70 sp002731805
TAX_402,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,EC70,EC70 sp004211885
TAX_403,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,EC70,EC70 sp012960505
TAX_404,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,EC70,EC70 sp013213965
TAX_405,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,EC70,EC70 sp014239335
TAX_406,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,EC70,EC70 sp902510815
TAX_407,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,EC70,EC70 sp902591645
TAX_408,unclassified,,,,,,
TAX_409,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L3,MGIIa-L3 sp002496845
